,Season,TeamID,Rank_WLK,Rank_DOL,Rank_COL,Rank_SAG,Rank_MOR,Rank_POM,Seed,TeamName,Wins,Losses,Win%,T_Wins
0,2003,1328,8,6,3,8,6,9,1,Oklahoma,24,6,80.0,3.0
6,2003,1448,9,4,8,9,20,12,2,Wake Forest,24,5,82.7586,1.0
12,2003,1393,14,5,9,12,21,15,3,Syracuse,24,5,82.7586,6.0
18,2003,1257,6,16,6,6,14,14,4,Louisville,24,6,80.0,1.0
24,2003,1280,17,19,25,16,8,11,5,Mississippi St,21,9,70.0,0.0
30,2003,1329,23,27,26,25,29,29,6,Oklahoma St,20,9,68.9655,1.0
36,2003,1386,16,22,27,20,38,18,7,St Joseph's PA,23,6,79.3103,0.0
42,2003,1143,33,25,28,40,43,40,8,California,21,8,72.4138,1.0
48,2003,1301,51,49,56,46,31,48,9,NC State,18,12,60.0,0.0
54,2003,1120,47,43,44,43,44,45,10,Auburn,19,11,63.3333,2.0
60,2003,1335,46,34,50,49,83,43,11,Penn,22,5,81.4815,0.0
66,2003,1139,29,28,29,35,74,51,12,Butler,24,5,82.7586,2.0
72,2003,1122,77,66,69,103,151,123,13,Austin Peay,20,7,74.0741,0.0
78,2003,1264,48,57,52,69,88,63,14,Manhattan,23,6,79.3103,0.0
84,2003,1190,123,105,120,133,149,147,15,ETSU,17,10,62.963,0.0
90,2003,1354,205,190,180,231,238,230,16,S Carolina St,20,10,66.6667,0.0
96,2003,1400,7,7,4,5,12,7,1,Texas,22,6,78.5714,4.0
102,2003,1196,11,8,14,7,7,6,2,Florida,24,7,77.4194,1.0
108,2003,1462,15,14,16,13,19,17,3,Xavier,25,5,83.3333,1.0
114,2003,1390,28,23,17,29,25,30,4,Stanford,23,8,74.1935,1.0
120,2003,1163,26,26,30,23,17,23,5,Connecticut,21,9,70.0,2.0
126,2003,1268,27,32,37,21,9,19,6,Maryland,19,9,67.8571,2.0
132,2003,1277,35,45,42,36,16,25,7,Michigan St,19,12,61.2903,3.0
138,2003,1261,30,30,36,27,11,21,8,LSU,21,10,67.7419,0.0
144,2003,1345,39,40,33,34,37,38,9,Purdue,18,10,64.2857,1.0
150,2003,1160,40,38,45,33,30,28,10,Colorado,20,11,64.5161,0.0
156,2003,1423,41,53,58,51,48,47,11,UNC Wilmington,24,6,80.0,0.0
162,2003,1140,25,36,23,28,42,26,12,BYU,23,8,74.1935,0.0
168,2003,1360,80,100,91,87,77,82,13,San Diego,17,11,60.7143,0.0
174,2003,1407,57,56,66,78,108,69,14,Troy,25,5,83.3333,0.0
180,2003,1358,102,93,87,138,169,134,15,Sam Houston St,21,6,77.7778,0.0
186,2003,1411,240,239,212,257,293,268,16,TX Southern,18,12,60.0,0.0
192,2003,1421,237,258,213,251,277,273,16,UNC Asheville,13,16,44.8276,1.0
198,2003,1246,1,1,1,1,1,1,1,Kentucky,29,3,90.625,3.0
204,2003,1338,3,3,5,3,3,2,2,Pittsburgh,26,4,86.6667,2.0
210,2003,1266,13,10,10,14,18,13,3,Marquette,23,5,82.1429,4.0
216,2003,1173,22,15,13,26,32,31,4,Dayton,24,5,82.7586,0.0
222,2003,1458,18,24,21,19,15,16,5,Wisconsin,22,7,75.8621,2.0
228,2003,1281,24,20,24,22,24,24,6,Missouri,21,10,67.7419,1.0
234,2003,1231,37,35,39,41,34,46,7,Indiana,20,12,62.5,1.0
240,2003,1332,43,29,32,30,27,42,8,Oregon,23,9,71.875,0.0
246,2003,1428,31,33,20,38,66,37,9,Utah,23,7,76.6667,1.0
252,2003,1104,36,39,43,37,26,33,10,Alabama,17,11,60.7143,0.0
258,2003,1356,44,31,31,50,72,57,11,S Illinois,24,6,80.0,0.0
264,2003,1451,67,65,34,59,100,60,12,Weber St,25,4,86.2069,0.0
270,2003,1409,55,79,57,58,35,53,13,Tulsa,22,9,70.9677,1.0
276,2003,1221,59,42,59,68,105,80,14,Holy Cross,25,4,86.2069,0.0
282,2003,1447,148,145,123,174,190,188,15,Wagner,21,10,67.7419,0.0
288,2003,1237,144,139,148,162,145,133,16,IUPUI,19,13,59.375,0.0
294,2003,1112,2,2,2,2,4,3,1,Arizona,25,3,89.2857,3.0
300,2003,1242,4,11,7,4,2,4,2,Kansas,23,7,76.6667,5.0
306,2003,1181,5,9,11,10,10,8,3,Duke,24,6,80.0,2.0
312,2003,1228,10,12,15,11,5,5,4,Illinois,24,6,80.0,1.0
318,2003,1323,20,17,22,17,36,22,5,Notre Dame,22,9,70.9677,2.0
324,2003,1166,19,18,18,18,33,27,6,Creighton,29,4,87.8788,0.0
330,2003,1272,21,21,19,24,23,20,7,Memphis,23,6,79.3103,0.0
336,2003,1153,45,54,46,42,39,35,8,Cincinnati,17,11,60.7143,0.0
342,2003,1211,38,50,40,39,54,41,9,Gonzaga,23,8,74.1935,1.0
348,2003,1113,34,48,38,32,22,32,10,Arizona St,18,11,62.069,1.0
354,2003,1141,32,37,35,48,50,50,11,C Michigan,23,6,79.3103,1.0
360,2003,1454,50,51,48,44,52,56,12,WI Milwaukee,23,7,76.6667,0.0
366,2003,1443,53,55,53,60,59,52,13,WKU,23,8,74.1935,0.0
372,2003,1161,92,91,75,89,85,87,14,Colorado St,17,13,56.6667,0.0
378,2003,1429,89,89,74,101,128,109,15,Utah St,22,8,73.3333,0.0
384,2003,1436,153,156,144,158,187,144,16,Vermont,19,10,65.5172,0.0
390,2004,1181,2,3,2,1,1,1,1,Duke,27,5,84.375,4.0
396,2004,1280,7,7,5,9,8,7,2,Mississippi St,25,3,89.2857,1.0
402,2004,1400,17,12,13,15,20,17,3,Texas,23,7,76.6667,2.0
408,2004,1153,11,16,10,14,13,15,4,Cincinnati,24,6,80.0,1.0
414,2004,1228,16,15,14,18,16,19,5,Illinois,24,6,80.0,2.0
420,2004,1314,14,17,21,13,11,11,6,North Carolina,18,10,64.2857,1.0
426,2004,1462,28,37,41,37,21,26,7,Xavier,23,10,69.697,3.0
432,2004,1371,37,40,28,34,32,28,8,Seton Hall,19,9,67.8571,1.0
438,2004,1112,33,44,36,32,26,33,9,Arizona,20,9,68.9655,0.0
444,2004,1257,21,34,27,20,19,23,10,Louisville,20,9,68.9655,0.0
450,2004,1102,46,39,49,43,61,47,11,Air Force,22,6,78.5714,0.0
456,2004,1293,50,51,51,50,73,63,12,Murray St,25,5,83.3333,0.0
462,2004,1190,47,47,47,73,93,67,13,ETSU,24,5,82.7586,0.0
468,2004,1343,102,90,110,116,133,102,14,Princeton,19,7,73.0769,0.0
474,2004,1284,152,155,123,181,215,188,15,Monmouth NJ,21,11,65.625,0.0
480,2004,1106,254,274,241,263,270,278,16,Alabama St,16,14,53.3333,0.0
486,2004,1390,4,2,4,6,7,12,1,Stanford,29,1,96.6667,1.0
492,2004,1163,9,10,9,7,3,8,2,Connecticut,27,6,81.8182,6.0
498,2004,1301,12,11,16,12,9,6,3,NC State,20,9,68.9655,1.0
504,2004,1268,18,18,23,17,17,16,4,Maryland,19,11,63.3333,1.0
510,2004,1393,26,23,15,35,24,27,5,Syracuse,21,7,75.0,2.0
516,2004,1435,24,30,24,21,29,24,6,Vanderbilt,21,9,70.0,2.0
522,2004,1177,43,41,38,47,44,52,7,DePaul,21,9,70.0,1.0
528,2004,1104,36,45,39,33,27,34,8,Alabama,17,12,58.6207,3.0
534,2004,1356,31,19,22,36,58,45,9,S Illinois,25,4,86.2069,0.0
540,2004,1173,51,38,33,56,56,61,10,Dayton,24,8,75.0,0.0
546,2004,1444,23,21,29,28,30,30,11,W Michigan,26,4,86.6667,0.0
552,2004,1140,32,33,40,30,40,31,12,BYU,19,8,70.3704,0.0
558,2004,1431,48,36,44,42,79,43,13,UTEP,22,7,75.8621,0.0
564,2004,1418,59,76,76,71,68,60,14,Louisiana,18,8,69.2308,0.0
570,2004,1436,129,118,114,150,161,162,15,Vermont,22,8,73.3333,0.0
576,2004,1427,203,206,183,233,213,216,16,UT San Antonio,16,12,57.1429,0.0
582,2004,1386,1,1,3,2,12,5,1,St Joseph's PA,27,1,96.4286,3.0
588,2004,1329,6,6,6,5,5,9,2,Oklahoma St,26,3,89.6552,4.0
594,2004,1338,10,8,7,10,6,3,3,Pittsburgh,28,4,87.5,2.0
600,2004,1448,15,13,17,11,15,13,4,Wake Forest,19,9,67.8571,2.0
606,2004,1196,19,24,19,19,18,18,5,Florida,20,10,66.6667,0.0
612,2004,1458,13,14,11,16,4,14,6,Wisconsin,24,6,80.0,1.0
618,2004,1272,27,25,25,29,34,32,7,Memphis,21,7,75.0,1.0
624,2004,1403,34,31,31,26,31,29,8,Texas Tech,22,10,68.75,1.0
630,2004,1150,29,27,30,31,45,39,9,Charlotte,21,8,72.4138,0.0
636,2004,1376,30,29,34,24,37,35,10,South Carolina,23,10,69.697,0.0
642,2004,1350,42,54,53,45,46,38,11,Richmond,20,12,62.5,0.0
648,2004,1264,44,53,46,57,70,56,12,Manhattan,24,5,82.7586,1.0
654,2004,1433,52,55,59,79,78,82,13,VCU,23,7,76.6667,0.0
660,2004,1416,67,59,62,86,123,98,14,UCF,24,5,82.7586,0.0
666,2004,1186,115,126,140,127,124,129,15,E Washington,16,12,57.1429,0.0
672,2004,1251,171,190,163,196,194,181,16,Liberty,17,14,54.8387,0.0
678,2004,1246,3,5,1,4,2,4,1,Kentucky,26,4,86.6667,1.0
684,2004,1211,5,4,8,3,22,2,2,Gonzaga,27,2,93.1034,1.0
690,2004,1210,8,9,12,8,10,10,3,Georgia Tech,23,9,71.875,5.0
696,2004,1242,20,20,18,23,14,25,4,Kansas,20,8,71.4286,3.0
702,2004,1344,22,22,20,22,23,21,5,Providence,20,8,71.4286,0.0
708,2004,1130,38,28,26,38,28,40,6,Boston College,23,9,71.875,1.0
714,2004,1277,40,52,45,44,25,37,7,Michigan St,18,11,62.069,0.0
720,2004,1449,49,58,54,53,39,51,8,Washington,19,11,63.3333,0.0
726,2004,1412,39,50,42,40,41,36,9,UAB,20,9,68.9655,2.0
732,2004,1305,25,35,35,25,36,22,10,Nevada,22,8,73.3333,2.0
738,2004,1428,41,32,32,39,42,44,11,Utah,23,8,74.1935,0.0
744,2004,1334,63,57,60,72,90,71,12,Pacific,23,7,76.6667,1.0
750,2004,1227,58,63,70,80,63,58,13,IL Chicago,24,7,77.4194,0.0
756,2004,1320,72,74,66,84,81,80,14,Northern Iowa,20,9,68.9655,0.0
762,2004,1434,131,131,130,151,134,132,15,Valparaiso,17,12,58.6207,0.0
768,2004,1197,275,276,261,287,255,276,16,Florida A&M,14,16,46.6667,1.0
774,2004,1250,194,182,181,222,212,218,16,Lehigh,18,10,64.2857,0.0
780,2005,1449,6,6,3,5,8,10,1,Washington,26,5,83.871,2.0
786,2005,1448,4,3,6,4,5,5,2,Wake Forest,26,5,83.871,1.0
792,2005,1211,13,13,12,21,32,16,3,Gonzaga,25,4,86.2069,1.0
798,2005,1257,9,9,11,7,6,9,4,Louisville,27,4,87.0968,4.0
804,2005,1210,22,24,29,20,16,23,5,Georgia Tech,19,11,63.3333,1.0
810,2005,1403,30,23,26,22,33,36,6,Texas Tech,20,10,66.6667,2.0
816,2005,1452,39,30,34,38,30,35,7,West Virginia,21,10,67.7419,3.0
822,2005,1334,24,17,23,27,67,39,8,Pacific,26,3,89.6552,1.0
828,2005,1338,26,28,28,29,21,22,9,Pittsburgh,20,8,71.4286,0.0
834,2005,1166,41,48,40,45,46,37,10,Creighton,23,10,69.697,0.0
840,2005,1417,40,51,30,51,42,46,11,UCLA,18,10,64.2857,0.0
846,2005,1203,33,47,49,40,29,44,12,G Washington,22,7,75.8621,0.0
852,2005,1418,67,76,70,76,70,58,13,Louisiana,19,10,65.5172,0.0
858,2005,1457,90,69,75,106,141,94,14,Winthrop,24,5,82.7586,0.0
864,2005,1151,131,137,134,143,170,165,15,Chattanooga,17,10,62.963,0.0
870,2005,1285,176,167,160,182,178,192,16,Montana,16,12,57.1429,0.0
876,2005,1228,1,1,1,1,3,1,1,Illinois,32,1,96.9697,5.0
882,2005,1329,5,7,8,6,12,7,2,Oklahoma St,23,6,79.3103,2.0
888,2005,1112,10,14,7,12,9,15,3,Arizona,27,6,81.8182,3.0
894,2005,1130,18,10,9,18,25,21,4,Boston College,24,4,85.7143,1.0
900,2005,1104,16,15,20,16,11,18,5,Alabama,23,7,76.6667,0.0
906,2005,1261,28,31,25,30,22,32,6,LSU,20,9,68.9655,0.0
912,2005,1356,23,26,21,31,54,29,7,S Illinois,25,7,78.125,1.0
918,2005,1400,35,29,38,25,36,34,8,Texas,19,10,65.5172,0.0
924,2005,1305,43,46,27,41,63,47,9,Nevada,23,6,79.3103,1.0
930,2005,1388,49,42,35,55,7,63,10,St Mary's CA,23,8,74.1935,0.0
936,2005,1412,50,57,48,48,48,55,11,UAB,21,10,67.7419,1.0
942,2005,1454,38,35,45,36,56,42,12,WI Milwaukee,22,5,81.4815,2.0
948,2005,1335,64,79,86,69,91,81,13,Penn,20,8,71.4286,0.0
954,2005,1429,37,67,61,44,31,26,14,Utah St,24,7,77.4194,0.0
960,2005,1368,118,123,133,140,168,131,15,SE Louisiana,19,8,70.3704,0.0
966,2005,1192,182,183,177,201,198,193,16,F Dickinson,19,12,61.2903,0.0
972,2005,1181,3,4,5,3,2,3,1,Duke,25,5,83.3333,2.0
978,2005,1246,8,5,10,8,14,13,2,Kentucky,25,5,83.3333,3.0
984,2005,1328,12,11,14,10,17,17,3,Oklahoma,24,7,77.4194,1.0
990,2005,1393,19,12,13,15,18,14,4,Syracuse,27,6,81.8182,0.0
996,2005,1277,11,16,18,11,10,4,5,Michigan St,22,6,78.5714,4.0
1002,2005,1428,25,21,24,24,27,19,6,Utah,25,5,83.3333,2.0
1008,2005,1153,21,25,22,23,24,25,7,Cincinnati,24,7,77.4194,1.0
1014,2005,1390,42,49,39,49,38,38,8,Stanford,18,12,60.0,0.0
1020,2005,1280,29,34,37,32,34,41,9,Mississippi St,22,10,68.75,1.0
1026,2005,1234,27,27,31,26,28,27,10,Iowa,21,11,65.625,0.0
1032,2005,1431,53,45,36,52,51,62,11,UTEP,25,7,78.125,0.0
1038,2005,1330,44,37,41,53,77,70,12,Old Dominion,27,5,84.375,0.0
1044,2005,1436,32,39,52,43,107,73,13,Vermont,24,6,80.0,1.0
1050,2005,1310,111,115,124,127,120,117,14,Niagara,20,9,68.9655,0.0
1056,2005,1184,122,112,132,144,174,148,15,E Kentucky,19,8,70.3704,0.0
1062,2005,1175,172,186,162,210,210,199,16,Delaware St,19,13,59.375,0.0
1068,2005,1314,2,2,2,2,1,2,1,North Carolina,27,4,87.0968,6.0
1074,2005,1163,14,18,15,13,7,6,2,Connecticut,22,7,75.8621,1.0
1080,2005,1242,7,8,4,9,19,12,3,Kansas,23,6,79.3103,0.0
1086,2005,1196,15,20,19,14,4,11,4,Florida,23,7,76.6667,1.0
1092,2005,1437,17,22,16,17,15,8,5,Villanova,22,7,75.8621,2.0
1098,2005,1458,20,19,17,19,20,20,6,Wisconsin,22,8,73.3333,3.0
1104,2005,1150,34,38,33,46,55,49,7,Charlotte,21,7,75.0,0.0
1110,2005,1278,36,32,32,37,47,31,8,Minnesota,21,10,67.7419,0.0
1116,2005,1235,57,43,51,50,40,45,9,Iowa St,18,11,62.069,1.0
1122,2005,1301,31,36,50,28,13,24,10,NC State,19,13,59.375,2.0
1128,2005,1320,51,53,44,42,81,50,11,Northern Iowa,20,10,66.6667,0.0
1134,2005,1307,48,33,43,39,35,28,12,New Mexico,25,6,80.6452,0.0
1140,2005,1325,70,70,64,75,102,86,13,Ohio,21,10,67.7419,0.0
1146,2005,1137,97,87,102,114,151,110,14,Bucknell,22,9,70.9677,1.0
1152,2005,1416,142,151,119,169,184,186,15,UCF,21,8,72.4138,0.0
1158,2005,1105,247,280,243,287,279,268,16,Alabama A&M,16,13,55.1724,0.0
1164,2005,1324,192,194,206,186,176,173,16,Oakland,11,18,37.931,1.0
1170,2006,1181,1,1,1,1,3,1,1,Duke,30,3,90.9091,2.0
1176,2006,1400,4,6,8,4,5,6,2,Texas,27,6,81.8182,3.0
1182,2006,1234,13,15,12,15,13,14,3,Iowa,25,8,75.7576,0.0
1188,2006,1261,12,19,15,12,17,13,4,LSU,22,8,73.3333,4.0
1194,2006,1393,32,22,21,26,30,52,5,Syracuse,23,11,67.6471,0.0
1200,2006,1452,24,24,29,21,21,18,6,West Virginia,19,10,65.5172,2.0
1206,2006,1143,51,40,47,51,46,50,7,California,20,10,66.6667,0.0
1212,2006,1203,16,9,17,22,42,31,8,G Washington,26,2,92.8571,1.0
1218,2006,1423,29,41,44,48,71,40,9,UNC Wilmington,25,7,78.125,0.0
1224,2006,1301,36,30,36,24,28,25,10,NC State,21,9,70.0,1.0
1230,2006,1356,44,46,30,45,53,48,11,S Illinois,22,9,70.9677,0.0
1236,2006,1401,39,26,34,39,19,33,12,Texas A&M,21,8,72.4138,1.0
1242,2006,1233,46,59,56,61,85,61,13,Iona,23,7,76.6667,0.0
1248,2006,1322,85,65,73,87,122,74,14,Northwestern LA,22,7,75.8621,1.0
1254,2006,1335,94,105,93,97,119,103,15,Penn,19,8,70.3704,0.0
1260,2006,1380,160,186,171,205,232,175,16,Southern Univ,19,12,61.2903,0.0
1266,2006,1272,5,4,4,5,10,7,1,Memphis,30,3,90.9091,3.0
1272,2006,1417,14,10,7,13,7,12,2,UCLA,27,6,81.8182,5.0
1278,2006,1211,17,5,6,18,39,27,3,Gonzaga,27,3,90.0,2.0
1284,2006,1242,10,16,16,11,4,4,4,Kansas,24,7,77.4194,0.0
1290,2006,1338,11,13,10,10,11,8,5,Pittsburgh,24,7,77.4194,1.0
1296,2006,1231,30,37,38,25,33,41,6,Indiana,18,11,62.069,1.0
1302,2006,1266,35,35,32,31,29,22,7,Marquette,19,10,65.5172,0.0
1308,2006,1116,22,28,28,19,16,16,8,Arkansas,22,9,70.9677,0.0
1314,2006,1137,41,23,43,43,91,42,9,Bucknell,25,4,86.2069,1.0
1320,2006,1104,61,61,54,57,45,71,10,Alabama,17,12,58.6207,1.0
1326,2006,1361,63,52,51,62,51,51,11,San Diego St,22,8,73.3333,0.0
1332,2006,1245,50,64,55,65,62,59,12,Kent,24,8,75.0,0.0
1338,2006,1133,33,51,46,37,47,32,13,Bradley,20,10,66.6667,2.0
1344,2006,1462,65,57,64,59,59,67,14,Xavier,21,10,67.7419,0.0
1350,2006,1125,147,167,154,182,150,143,15,Belmont,20,10,66.6667,0.0
1356,2006,1331,111,119,128,121,109,128,16,Oral Roberts,20,11,64.5161,0.0
1362,2006,1437,3,3,2,3,6,3,1,Villanova,25,4,86.2069,3.0
1368,2006,1326,6,7,5,8,12,9,2,Ohio St,25,5,83.3333,1.0
1374,2006,1196,7,8,13,6,8,5,3,Florida,27,6,81.8182,6.0
1380,2006,1130,18,12,18,17,15,19,4,Boston College,25,7,78.125,2.0
1386,2006,1305,20,18,20,27,50,21,5,Nevada,26,5,83.871,0.0
1392,2006,1328,31,29,24,35,27,38,6,Oklahoma,20,8,71.4286,0.0
1398,2006,1207,19,21,27,16,20,17,7,Georgetown,21,9,70.0,2.0
1404,2006,1112,47,36,37,41,26,35,8,Arizona,19,12,61.2903,1.0
1410,2006,1458,34,50,31,36,40,34,9,Wisconsin,19,11,63.3333,0.0
1416,2006,1320,28,34,25,33,56,24,10,Northern Iowa,21,9,70.0,0.0
1422,2006,1454,57,73,61,66,57,68,11,WI Milwaukee,20,8,71.4286,1.0
1428,2006,1285,71,66,67,100,115,90,12,Montana,21,6,77.7778,1.0
1434,2006,1334,82,78,79,79,74,89,13,Pacific,22,7,75.8621,0.0
1440,2006,1375,54,74,59,91,76,75,14,South Alabama,23,6,79.3103,0.0
1446,2006,1172,109,127,115,125,126,120,15,Davidson,17,10,62.963,0.0
1452,2006,1214,257,295,257,278,276,261,16,Hampton,16,15,51.6129,0.0
1458,2006,1284,164,158,170,177,190,194,16,Monmouth NJ,18,14,56.25,1.0
1464,2006,1163,2,2,3,2,2,2,1,Connecticut,27,3,90.0,3.0
1470,2006,1397,15,17,14,14,22,15,2,Tennessee,21,7,75.0,1.0
1476,2006,1314,8,14,11,9,1,10,3,North Carolina,22,7,75.8621,1.0
1482,2006,1228,9,11,9,7,9,11,4,Illinois,25,6,80.6452,1.0
1488,2006,1449,23,20,19,20,14,20,5,Washington,24,6,80.0,2.0
1494,2006,1277,26,27,23,29,18,23,6,Michigan St,21,11,65.625,0.0
1500,2006,1455,27,25,22,32,54,39,7,Wichita St,23,8,74.1935,2.0
1506,2006,1246,37,38,35,34,23,30,8,Kentucky,21,12,63.6364,1.0
1512,2006,1412,42,33,33,44,52,44,9,UAB,23,6,79.3103,0.0
1518,2006,1371,53,54,49,58,70,56,10,Seton Hall,18,11,62.069,0.0
1524,2006,1206,25,43,45,38,75,28,11,George Mason,23,7,76.6667,4.0
1530,2006,1429,56,58,53,67,87,66,12,Utah St,22,8,73.3333,0.0
1536,2006,1102,59,44,48,56,58,49,13,Air Force,22,6,78.5714,0.0
1542,2006,1293,69,88,66,92,108,93,14,Murray St,23,6,79.3103,0.0
1548,2006,1457,78,95,81,71,118,91,15,Winthrop,21,7,75.0,0.0
1554,2006,1107,120,139,134,154,153,137,16,SUNY Albany,21,10,67.7419,0.0
1560,2007,1314,1,3,3,1,1,1,1,North Carolina,28,6,82.3529,3.0
1566,2007,1207,6,8,10,8,4,6,2,Georgetown,26,6,81.25,4.0
1572,2007,1450,20,17,16,23,25,33,3,Washington St,25,7,78.125,1.0
1578,2007,1400,22,16,27,16,12,16,4,Texas,24,9,72.7273,1.0
1584,2007,1425,41,43,30,35,44,43,5,USC,23,11,67.6471,2.0
1590,2007,1435,55,50,47,54,45,51,6,Vanderbilt,19,11,63.3333,2.0
1596,2007,1130,43,37,36,34,37,42,7,Boston College,20,11,64.5161,1.0
1602,2007,1266,39,24,21,36,27,28,8,Marquette,23,9,71.875,0.0
1608,2007,1277,27,32,29,22,33,13,9,Michigan St,22,11,66.6667,1.0
1614,2007,1403,65,48,52,64,68,68,10,Texas Tech,21,12,63.6364,0.0
1620,2007,1203,69,68,66,71,78,82,11,G Washington,23,8,74.1935,0.0
1626,2007,1116,42,46,45,40,24,30,12,Arkansas,21,13,61.7647,0.0
1632,2007,1308,74,70,60,83,91,96,13,New Mexico St,24,8,75.0,0.0
1638,2007,1331,80,87,95,96,109,94,14,Oral Roberts,22,10,68.75,0.0
1644,2007,1125,105,129,120,126,129,132,15,Belmont,22,9,70.9677,0.0
1650,2007,1184,164,162,148,168,188,188,16,E Kentucky,19,11,63.3333,0.0
1656,2007,1326,2,1,1,2,6,4,1,Ohio St,30,3,90.9091,5.0
1662,2007,1272,8,6,9,7,7,9,2,Memphis,30,3,90.9091,3.0
1668,2007,1401,9,11,13,9,5,5,3,Texas A&M,25,6,80.6452,2.0
1674,2007,1438,54,39,46,39,49,48,4,Virginia,19,10,65.5172,1.0
1680,2007,1397,24,23,20,24,34,39,5,Tennessee,22,10,68.75,2.0
1686,2007,1257,31,29,24,33,9,15,6,Louisville,22,9,70.9677,1.0
1692,2007,1305,21,19,17,31,57,63,7,Nevada,27,4,87.0968,1.0
1698,2007,1140,32,42,25,44,43,55,8,BYU,24,8,75.0,0.0
1704,2007,1462,29,55,33,41,22,34,9,Xavier,24,8,75.0,1.0
1710,2007,1166,19,36,26,30,21,32,10,Creighton,22,10,68.75,0.0
1716,2007,1390,62,63,55,53,47,53,11,Stanford,18,12,60.0,0.0
1722,2007,1253,86,81,78,91,95,131,12,Long Beach St,23,7,76.6667,0.0
1728,2007,1107,103,102,107,124,136,150,13,SUNY Albany,23,9,71.875,0.0
1734,2007,1335,91,89,90,110,104,102,14,Penn,21,8,72.4138,0.0
1740,2007,1317,140,155,133,143,164,185,15,North Texas,20,10,66.6667,0.0
1746,2007,1148,161,160,154,193,151,174,16,Central Conn,22,11,66.6667,0.0
1752,2007,1196,3,5,6,3,3,3,1,Florida,29,5,85.2941,6.0
1758,2007,1458,7,2,4,5,10,7,2,Wisconsin,29,5,85.2941,1.0
1764,2007,1332,14,14,12,15,13,21,3,Oregon,26,7,78.7879,3.0
1770,2007,1268,12,13,18,11,8,11,4,Maryland,24,8,75.0,1.0
1776,2007,1139,36,31,22,21,66,27,5,Butler,25,6,80.6452,2.0
1782,2007,1323,18,18,28,14,14,17,6,Notre Dame,24,7,77.4194,0.0
1788,2007,1424,23,22,11,29,35,52,7,UNLV,27,6,81.8182,2.0
1794,2007,1112,15,25,14,12,32,23,8,Arizona,20,10,66.6667,0.0
1800,2007,1345,37,38,43,32,38,22,9,Purdue,21,11,65.625,1.0
